CloneGroupType,X2,EachGroup_25Percentile,CloneGroupMin,CloneGroupMax,EachGroup_Mean,EachGroup_Median,CloneGroupVariance,EachGroup_SD,X10,ShanonEntropy
227,Blocks,1,1,3,1.714286,2,0.5714286,0.7559289,7,0.957742056202218
228,Blocks,3,2,6,4,4,8,2.828427,2,0.8112781244591328
229,Blocks,1,1,1,1,1,0,0,2,1
230,Blocks,1,1,10,4,1,27,5.196152,3,0.5152734452350943
231,Blocks,0,0,3,1,0.5,2,1.414214,4,NaN
232,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
233,Blocks,10.5,6,24,15,15,162,12.72792,2,0.7219280948873623
234,Blocks,3.25,0,13,6.5,6.5,84.5,9.192388,2,NaN
235,Blocks,1,1,2,1.333333,1,0.3333333,0.5773503,3,0.9463946303571862
236,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
237,Blocks,1,1,56,12.6,1,590.3,24.29609,5,0.2963926979392404
238,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2,0.7219280948873623
239,Blocks,0.25,0,4,1.666667,1.5,2.666667,1.632993,6,NaN
240,Blocks,1,1,1,1,1,0,0,2,1
241,Blocks,2.75,0,11,5.5,5.5,60.5,7.778175,2,NaN
242,Blocks,1.5,0,5,2.25,2,4.25,2.061553,4,NaN
243,Blocks,1,0,5,2,2,3.5,1.870829,5,NaN
244,Blocks,1.5,0,6,3,3,18,4.242641,2,NaN
245,Blocks,0,0,3,1,1,1.5,1.224745,5,NaN
246,Blocks,0,0,0,0,0,0,0,2,NaN
247,Blocks,9,9,9,9,9,0,0,2,1
248,Blocks,-0.5,-1,1,0,0,2,1.414214,2,NaN
249,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
250,Blocks,9,6,18,12,12,72,8.485281,2,0.8112781244591328
251,Blocks,4.25,2,11,6.5,6.5,40.5,6.363961,2,0.6193821946787638
252,Blocks,13.75,3,46,24.5,24.5,924.5,30.40559,2,0.3322866302216151
253,Blocks,8.25,1,30,15.5,15.5,420.5,20.5061,2,0.205592508185083
254,Blocks,0.5,0,17,6,1,91,9.539392,3,NaN
255,Blocks,10.5,1,39,20,20,722,26.87006,2,0.16866093149667025
256,Blocks,2.5,2,4,3,3,2,1.414214,2,0.9182958340544896
257,Blocks,7,5,13,9,9,32,5.656854,2,0.8524051786494786
258,Blocks,1,1,51,17.66667,1,833.3333,28.86751,3,0.1700664204727554
259,Blocks,1.5,1,8,3.666667,2,14.33333,3.785939,3,0.6913698302025114
260,Blocks,4.25,3,8,5.5,5.5,12.5,3.535534,2,0.8453509366224364
261,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
262,Blocks,7.25,0,29,14.5,14.5,420.5,20.5061,2,NaN
263,Blocks,5,5,5,5,5,0,0,2,1
264,Blocks,3,1,5,3.666667,5,5.333333,2.309401,3,0.8508642289005679
265,Blocks,8.75,0,35,17.5,17.5,612.5,24.74874,2,NaN
266,Blocks,2,0,13,5.666667,4,44.33333,6.658328,3,NaN
267,Blocks,8.5,1,31,16,16,450,21.2132,2,0.20062232431271465
268,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
269,Blocks,27,1,105,53,53,5408,73.53911,2,0.07701687574298335
270,Blocks,0,0,1,0.3333333,0,0.3333333,0.5773503,3,NaN
271,Blocks,2,1,4,2.666667,3,2.333333,1.527525,3,0.886859507142915
272,Blocks,1.5,0,5,2.666667,3,6.333333,2.516611,3,NaN
273,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2,0.7219280948873623
274,Blocks,1,1,1,1,1,0,0,2,1
275,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
276,Blocks,0.25,0,12,3.833333,2,22.96667,4.792355,6,NaN
277,Blocks,2,2,2,2,2,0,0,2,1
278,Blocks,2.25,2,3,2.5,2.5,0.5,0.7071068,2,0.9709505944546686
279,Blocks,1.5,1,5,2.666667,2,4.333333,2.081666,3,0.8194483718728035
280,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
281,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
282,Blocks,6.25,5,10,7.5,7.5,12.5,3.535534,2,0.9182958340544896
283,Blocks,1,0,62,21.33333,2,1241.333,35.23256,3,NaN
284,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
285,Blocks,0,0,0,0,0,0,0,2,NaN
286,Blocks,2,1,5,3,3,8,2.828427,2,0.6500224216483541
287,Blocks,5,1,17,9,9,128,11.31371,2,0.3095434291503252
288,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
289,Blocks,1.75,1,4,2.5,2.5,4.5,2.12132,2,0.7219280948873623
290,Blocks,15,4,48,26,26,968,31.1127,2,0.39124356362925566
291,Blocks,1.5,1,4,2.333333,2,2.333333,1.527525,3,0.8699155297736259
292,Blocks,5,5,5,5,5,0,0,2,1
293,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
294,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
295,Blocks,1,1,2,1.25,1,0.25,0.5,4,0.9609640474436811
296,Blocks,0.5,0,2,1,1,1,1,3,NaN
297,Blocks,0,0,1,0.625,1,0.2678571,0.5175492,8,NaN
298,Blocks,1,-1,32,7.5,1,162.3,12.7397,6,NaN
299,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
300,Blocks,1,0,4,2,2,4,2,3,NaN
301,Blocks,1,0,6,2,1.5,4.4,2.097618,6,NaN
302,Blocks,0,0,4,1.333333,0,5.333333,2.309401,3,NaN
303,Blocks,1,1,1,1,1,0,0,2,1
304,Blocks,3,1,9,5,5,32,5.656854,2,0.4689955935892812
305,Blocks,0,0,0,0,0,0,0,2,NaN
306,Blocks,1,0,4,1.666667,1,2,1.414214,9,NaN
307,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
308,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
309,Blocks,0.75,0,2,1.25,1.5,0.9166667,0.9574271,4,NaN
310,Blocks,1.5,1,2,1.666667,2,0.3333333,0.5773503,3,0.9602297178607612
311,Blocks,2.75,1,8,4.5,4.5,24.5,4.949747,2,0.5032583347756457
312,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
313,Blocks,7,0,28,14,14,392,19.79899,2,NaN
314,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
315,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
316,Blocks,0,0,0,0,0,0,0,2,NaN
317,Blocks,0,0,4,1.2,1,2.7,1.643168,5,NaN
318,Blocks,0,0,0,0,0,0,0,2,NaN
319,Blocks,0,0,2,0.6,0,0.8,0.8944272,5,NaN
320,Blocks,1.25,0,5,2.5,2.5,12.5,3.535534,2,NaN
321,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
322,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
323,Blocks,0.75,0,2,1,1,0.6666667,0.8164966,4,NaN
324,Blocks,0,0,3,1,1,0.875,0.9354143,17,NaN
325,Blocks,2.75,0,11,5.5,5.5,60.5,7.778175,2,NaN
326,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
327,Blocks,1,0,4,1.857143,1,2.142857,1.46385,7,NaN
328,Blocks,1.25,0,5,2.5,2.5,12.5,3.535534,2,NaN
329,Blocks,1,1,1,1,1,0,0,2,1
330,Blocks,1,1,1,1,1,0,0,2,1
331,Blocks,0,0,0,0,0,0,0,2,NaN
332,Blocks,2.25,1,6,3.5,3.5,12.5,3.535534,2,0.5916727785823275
333,Blocks,0,0,0,0,0,0,0,2,NaN
334,Blocks,1,1,3,1.666667,1,1.333333,1.154701,3,0.8649735207179273
335,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
336,Blocks,0,0,0,0,0,0,0,2,NaN
337,Blocks,3,3,3,3,3,0,0,2,1
338,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
339,Blocks,2,2,4,2.666667,2,1.333333,1.154701,3,0.9463946303571862
340,Blocks,1.25,0,5,2.5,2.5,12.5,3.535534,2,NaN
341,Blocks,3.5,1,11,6,6,50,7.071068,2,0.41381685030363374
342,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
343,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
344,Blocks,3.75,1,12,6.5,6.5,60.5,7.778175,2,0.39124356362925566
345,Blocks,3.25,2,7,4.5,4.5,12.5,3.535534,2,0.7642045065086203
346,Blocks,1,1,1,1,1,0,0,2,1
347,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
348,Blocks,1,1,3,1.666667,1,1.333333,1.154701,3,0.8649735207179273
349,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
350,Blocks,1,0,230,30.125,1,6524.696,80.77559,8,NaN
351,Blocks,1,1,1,1,1,0,0,2,1
352,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
353,Blocks,2.5,1,7,4,4,18,4.242641,2,0.5435644431995964
354,Blocks,4.25,0,17,8.5,8.5,144.5,12.02082,2,NaN
355,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
356,Blocks,0.5,0,2,1,1,2,1.414214,2,NaN
357,Blocks,9.5,0,38,19,19,722,26.87006,2,NaN
358,Blocks,1,0,3,1.666667,2,2.333333,1.527525,3,NaN
359,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
360,Blocks,1,1,1,1,1,0,0,2,1
361,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
362,Blocks,5,5,5,5,5,0,0,2,1
363,Blocks,1,0,4,1.4,1,2.3,1.516575,5,NaN
364,Blocks,0,0,0,0,0,0,0,2,NaN
365,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
366,Blocks,2.5,2,4,3,3,2,1.414214,2,0.9182958340544896
367,Blocks,0.5,0,2,1,1,1,1,3,NaN
368,Blocks,1.5,1,3,2,2,2,1.414214,2,0.8112781244591328
369,Blocks,0.25,0,1,0.5,0.5,0.5,0.7071068,2,NaN
370,Blocks,0.75,0,3,1.5,1.5,4.5,2.12132,2,NaN
371,Blocks,3,1,9,5,5,32,5.656854,2,0.4689955935892812
372,Blocks,1,1,3,1.75,1.5,0.9166667,0.9574271,4,0.9211854965885542
373,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
374,Blocks,-1,-2,2,0,0,4,2,3,NaN
375,Blocks,2,2,2,2,2,0,0,2,1
376,Blocks,1,1,1,1,1,0,0,2,1
377,Blocks,0,0,18,5,1,76,8.717798,4,NaN
378,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
379,Blocks,1.25,1,2,1.5,1.5,0.5,0.7071068,2,0.9182958340544896
380,Blocks,1,0,4,2,2,8,2.828427,2,NaN
