Uid,PostId,SnippetId,CloneClassnumber,CloneSize,Similarity,CodeLength,Grunality,A_ownerId,A_length,A_CreateDate,A_Score,A_NoOfBoldTags,A_NoOfCodeSnippets,A_NoOfComments,A_NoOfEditOrRevision,Answerer_ReputationScore,Answerer_Upvotes,Answerer_DownVotes,Answerer_PostedQuestions,Answerer_PostedAnswers,Answerer_NoOfRevision,Answerer_NoOfRevisionInAnswer,A_CodeRatioPercentage,A_LinkTags,A_ItalicTags,A_TotalCodeLength,A_codeRatio
13,40968653,1,1,12,70,328,Blocks,1863229,698,2016-12-05 6:54:55,2,0,2,0,2,229261,10475,3182,64,10110,21805,2,53.3524,0,3,374,0.5335
14,41352194,1,1,12,70,337,Blocks,6181599,1257,2016-12-27 21:02:21,0,5,9,4,4,1729,53,1,0,71,211,4,33.9937,0,0,429,0.3399
15,28183791,1,1,12,70,357,Blocks,2970947,1084,2015-01-28 2:51:40,0,0,11,0,1,154455,4689,3703,0,6438,8830,1,44.4342,0,0,483,0.4443
16,35385547,1,1,12,70,421,Blocks,1043569,886,2016-02-13 21:30:11,1,0,7,2,1,3411,1342,825,11,175,440,1,50.3946,0,0,447,0.5039
17,21232044,1,1,12,70,272,Blocks,2020834,675,2014-01-20 10:53:33,1,0,3,1,1,1099,2439,45,0,44,85,1,43.4402,0,1,298,0.4344
18,35785085,1,1,12,70,523,Blocks,2320144,1572,2016-03-03 23:23:32,0,0,3,0,1,8642,103,4,7,425,775,1,91.5894,0,0,1481,0.9159
19,52916817,1,1,12,70,426,Blocks,2408342,749,2018-10-21 15:18:01,2,0,6,1,1,4803,1518,254,26,239,1386,1,60.4,0,1,453,0.604
20,38384656,1,1,12,70,483,Blocks,6591547,504,2016-07-14 21:36:34,0,0,2,8,2,107,1,0,0,11,15,2,94.8919,0,0,483,0.9489
21,17043761,1,1,12,70,431,Blocks,1241193,1342,2013-06-11 12:10:17,1,0,3,0,1,6252,220,35,1,354,529,1,39.8362,0,0,535,0.3984
22,37291968,1,1,12,70,264,Blocks,1552587,325,2016-05-18 6:36:59,1,0,2,2,1,14363,283,35,7,762,1275,1,79.7546,0,0,260,0.7975
23,16540303,1,1,12,70,552,Blocks,1688731,1067,2013-05-14 10:03:34,0,0,3,0,1,326,302,6,26,13,103,1,70.8801,0,0,757,0.7088
24,42987960,1,1,12,70,770,Blocks,6831392,1335,2017-03-23 22:13:03,1,0,2,1,3,73,55,0,5,5,23,3,92.6866,0,0,1242,0.9269
25,41776012,1,1,12,70,393,Blocks,0,743,2017-01-21 5:20:28,1,0,2,4,1,0,0,0,261014,224615,0,0,70.2957,0,0,523,0.703
26,23316938,1,1,12,70,174,Blocks,335858,1051,2014-04-26 21:55:58,2,0,4,0,2,615495,29582,3077,21,15843,26136,1,17.1103,0,0,180,0.1711
27,40199526,1,1,12,70,299,Blocks,7058912,1225,2016-10-23 4:29:43,5,0,3,6,1,131,15,0,0,6,8,1,34.1463,0,0,420,0.3415
28,22487169,1,1,12,70,436,Blocks,2464386,3320,2014-03-18 17:50:00,1,2,35,2,2,26924,2171,1290,58,1113,1826,2,28.8166,0,0,957,0.2882
29,26781876,1,1,12,70,123,Blocks,4190267,679,2014-11-06 14:26:56,0,0,2,4,1,112,0,0,1,18,36,1,35.4839,0,0,242,0.3548
30,26656729,1,1,12,70,341,Blocks,4134826,574,2014-10-30 15:12:50,0,0,2,0,1,1097,9,3,3,22,34,1,62.9116,0,0,363,0.6291
31,38244656,1,1,12,70,287,Blocks,6348267,2034,2016-07-07 11:45:51,0,0,21,0,1,298,297,192,7,14,76,1,21.5022,0,0,438,0.215
32,26553262,1,1,12,70,330,Blocks,1361506,769,2014-10-24 17:35:33,2,0,3,0,1,8128,3443,5696,1,279,1226,1,43.4109,0,0,336,0.4341
33,31887275,1,1,12,70,329,Blocks,2229229,987,2015-08-07 22:02:38,1,0,4,1,1,8931,464,105,20,456,776,1,46.5932,0,0,465,0.4659
34,17043761,1,1,12,70,501,Blocks,1241193,1342,2013-06-11 12:10:17,1,0,3,0,1,6252,220,35,1,354,529,1,39.8362,0,0,535,0.3984
35,21232044,1,1,12,70,268,Blocks,2020834,675,2014-01-20 10:53:33,1,0,3,1,1,1099,2439,45,0,44,85,1,43.4402,0,1,298,0.4344
36,43047452,1,1,12,70,280,Blocks,6073886,489,2017-03-27 13:12:14,1,0,2,4,1,1719,317,958,0,69,125,1,57.551,0,0,282,0.5755
37,8142193,1,1,12,70,217,Blocks,561803,384,2011-11-15 19:44:41,3,0,2,4,1,298,5,1,12,9,56,1,54.9872,0,0,215,0.5499
38,26978780,1,1,12,70,294,Blocks,1132499,426,2014-11-17 17:53:09,2,0,2,1,1,1234,835,331,11,37,111,1,79.3911,0,0,339,0.7939
39,31557032,1,1,12,70,377,Blocks,1346369,418,2015-07-22 7:51:21,1,0,2,2,1,9715,672,119,35,430,795,1,89.2601,0,0,374,0.8926
40,49399235,1,1,12,70,285,Blocks,1863229,983,2018-03-21 6:00:59,1,0,7,0,1,229261,10475,3182,64,10110,21805,1,32.085,1,1,317,0.3209
41,41292901,1,1,12,70,258,Blocks,4668606,2921,2016-12-22 23:04:56,2,0,15,0,2,11627,396,215,1,666,1068,2,34.4733,0,0,1008,0.3447
42,38244656,1,1,12,70,283,Blocks,6348267,2034,2016-07-07 11:45:51,0,0,21,0,1,298,297,192,7,14,76,1,21.5022,0,0,438,0.215
43,46757320,1,1,12,70,393,Blocks,6094348,572,2017-10-15 16:31:14,0,1,5,1,1,4663,385,624,18,249,568,1,72.4437,0,0,418,0.7244
44,31129329,1,1,12,70,281,Blocks,884986,2203,2015-06-30 4:03:54,0,0,5,1,1,1635,191,24,26,64,174,1,45.7919,0,0,1012,0.4579
45,41292901,1,1,12,70,262,Blocks,4668606,2921,2016-12-22 23:04:56,2,0,15,0,2,11627,396,215,1,666,1068,2,34.4733,0,0,1008,0.3447
46,15827068,1,1,12,70,975,Blocks,347964,1223,2013-04-05 6:08:36,1,0,4,0,1,10653,292,59,53,314,583,1,84.8039,0,0,1038,0.848
47,31623290,1,1,12,70,847,Blocks,4895040,1383,2015-07-25 5:29:30,2,1,3,18,18,782,4646,1,0,56,251,18,66.8103,1,1,930,0.6681
48,23442218,1,1,12,70,331,Blocks,847064,1509,2014-05-03 8:52:05,2,1,2,0,3,17892,1089,353,56,183,483,2,21.5984,1,0,327,0.216
49,18077697,1,1,12,70,257,Blocks,1696704,278,2013-08-06 10:31:21,1,0,2,0,2,447,320,14,26,26,132,1,90.681,0,0,253,0.9068
50,36710213,1,1,12,70,369,Blocks,1799530,852,2016-04-19 6:28:13,1,0,4,5,2,6729,1493,935,25,351,609,2,69.4737,0,0,594,0.6947
51,15813939,1,1,12,70,749,Blocks,592139,1298,2013-04-04 14:22:34,1,0,4,2,3,104767,2326,66,2,2571,4184,3,76.746,0,2,1000,0.7675
52,10340089,1,1,12,70,288,Blocks,21475,1877,2012-04-26 19:29:43,2,0,7,1,3,67300,6292,9,66,751,1702,3,42.0913,0,1,793,0.4209
53,11429478,1,1,12,70,283,Blocks,201359,982,2012-07-11 9:23:09,2,0,5,4,10,179615,4639,962,18,3707,8843,8,55.646,0,0,547,0.5565
54,39559049,1,1,12,70,301,Blocks,3399105,658,2016-09-18 14:59:34,0,0,3,1,1,2120,37,25,6,144,429,1,79.9397,0,0,530,0.7994
55,12131375,1,1,12,70,307,Blocks,1144248,1479,2012-08-26 15:30:26,3,0,4,8,4,5849,115,49,11,153,255,3,28.3784,0,0,420,0.2838
56,47031586,1,1,12,70,515,Blocks,8533940,1317,2017-10-31 9:07:43,2,0,3,0,1,3805,12,33,2,253,334,1,52.5038,0,0,692,0.525
57,41378022,1,1,12,70,432,Blocks,2067492,1202,2016-12-29 10:41:42,1,0,4,0,1,4294,146,51,3,221,378,1,67.4148,0,0,811,0.6741
58,39631156,1,1,12,70,713,Blocks,1904778,2370,2016-09-22 5:48:29,0,0,3,0,2,1095,386,6,18,40,127,1,42.6105,1,0,1012,0.4261
59,14635975,1,1,12,70,286,Blocks,166678,1800,2013-01-31 22:01:55,2,0,5,4,5,538,243,13,9,28,69,5,54.9139,0,0,989,0.5491
60,22788053,1,1,12,70,352,Blocks,1343161,663,2014-04-01 13:55:09,0,0,6,1,1,39368,2146,1455,5,800,1633,1,53.6145,0,0,356,0.5361
61,46403098,1,1,12,70,272,Blocks,6442149,1211,2017-09-25 10:34:16,0,2,4,2,3,801,69,19,1,54,104,3,39.5425,0,0,484,0.3954
62,20873220,1,1,12,70,402,Blocks,1889762,1164,2014-01-01 21:00:48,2,0,3,0,2,2237,560,52,58,98,394,2,70.1266,0,0,831,0.7013
63,26924800,1,1,12,70,279,Blocks,315228,531,2014-11-14 7:13:40,1,0,3,5,2,30036,51,350,8,1872,2403,2,56.6914,0,0,305,0.5669
64,13709774,1,1,12,70,486,Blocks,1704529,1394,2012-12-04 18:45:13,1,2,8,3,1,28635,158,12,0,1201,2165,1,54.8387,0,0,765,0.5484
65,44628770,1,1,12,70,305,Blocks,5168011,654,2017-06-19 10:59:32,1,0,6,13,3,19098,413,1991,7,1050,2430,3,61.8401,0,0,410,0.6184
66,32544092,1,1,12,70,204,Blocks,5321349,464,2015-09-12 21:49:24,0,1,5,0,2,1772,399,27,2,67,177,2,53.9785,0,0,251,0.5398
67,29338560,1,1,12,70,382,Blocks,1467628,479,2015-03-30 4:46:45,0,0,2,0,1,665,5,2,0,44,52,1,78.75,0,0,378,0.7875
68,6863831,1,1,12,70,205,Blocks,723920,586,2011-07-28 18:27:52,1,0,3,9,1,22144,2421,96,6,447,571,1,50.5922,0,0,299,0.5059
69,22694640,1,1,12,70,182,Blocks,2643475,430,2014-03-27 17:15:00,0,0,2,0,2,196,293,0,2,7,19,2,41.2993,0,0,178,0.413
70,7776757,1,1,12,70,155,Blocks,571407,1003,2011-10-15 8:40:45,3,0,3,1,1,542373,5119,7876,7,13551,17024,1,21.2302,1,0,214,0.2123
71,47031586,1,1,12,70,519,Blocks,8533940,1317,2017-10-31 9:07:43,2,0,3,0,1,3805,12,33,2,253,334,1,52.5038,0,0,692,0.525
72,10363407,1,1,12,70,227,Blocks,157882,1722,2012-04-28 12:16:26,3,1,16,3,2,852319,15343,21024,15,17029,72465,2,38.706,1,2,670,0.3871
73,37062890,1,1,12,70,306,Blocks,4012073,717,2016-05-06 1:39:52,3,1,2,1,1,2532,239,37,9,169,297,1,44.429,0,0,319,0.4443
74,25569684,1,1,12,70,672,Blocks,1186837,1307,2014-08-29 13:47:46,1,0,3,0,1,670,48,3,1,25,42,1,51.8997,0,0,683,0.519
75,47777061,1,1,12,70,265,Blocks,9079618,1248,2017-12-12 16:16:55,1,1,2,0,6,245,22,1,0,12,35,6,20.8565,2,0,263,0.2086
76,26832964,1,1,12,70,327,Blocks,2649570,541,2014-11-09 20:30:02,0,0,4,4,2,3379,543,1,7,167,260,2,62.9151,0,0,341,0.6292
77,35385547,1,1,12,70,425,Blocks,1043569,886,2016-02-13 21:30:11,1,0,7,2,1,3411,1342,825,11,175,440,1,50.3946,0,0,447,0.5039
78,52214891,1,1,12,70,271,Blocks,9473786,674,2018-09-07 3:35:49,1,0,3,2,3,2263,328,149,3,126,262,3,42.4153,0,0,288,0.4242
79,35265209,1,1,12,70,255,Blocks,5649485,2403,2016-02-08 8:31:34,0,1,17,7,4,970,237,38,7,54,122,4,42.3427,0,0,1023,0.4234
80,27382208,1,1,12,70,347,Blocks,1011824,514,2014-12-09 15:09:10,1,0,2,0,1,947,259,26,53,50,254,1,67.3786,0,0,347,0.6738
81,22313755,1,1,12,70,356,Blocks,2164109,954,2014-03-10 23:53:04,3,0,2,8,2,15167,4572,146,1,389,737,2,36.8586,0,0,352,0.3686
82,48259192,1,1,12,70,158,Blocks,6678591,276,2018-01-15 8:23:59,0,0,2,0,2,1,0,0,1,2,8,2,55.516,0,0,156,0.5552
83,10462657,1,1,12,70,161,Blocks,571407,622,2012-05-05 14:12:08,1,0,2,5,1,542373,5119,7876,7,13551,17024,1,25.2006,0,0,157,0.252
84,3634906,1,1,12,70,324,Blocks,260990,607,2010-09-03 10:34:53,404,0,3,8,8,200576,4896,16,49,3564,8014,5,73.8636,0,0,455,0.7386
85,32720628,1,1,12,70,270,Blocks,1803853,2132,2015-09-22 15:14:24,1,1,7,3,4,19181,191,57,8,885,1413,4,36.9433,0,0,788,0.3694
86,51561482,1,1,12,70,260,Blocks,6535399,1008,2018-07-27 15:51:32,4,0,4,0,1,13773,270,288,0,504,591,1,29.8315,0,1,301,0.2983
87,32418182,1,1,12,70,334,Blocks,2099848,1913,2015-09-05 22:11:36,1,0,6,0,1,1015,338,17,26,55,198,1,52.8096,0,0,1015,0.5281
88,28871850,1,1,12,70,369,Blocks,2165406,470,2015-03-05 7:02:55,2,0,2,1,1,516,2,1,0,30,35,1,78.3158,0,0,372,0.7832
89,12010076,1,1,12,70,368,Blocks,1343161,456,2012-08-17 17:05:53,1,0,2,1,2,39368,2146,1455,5,800,1633,2,80.5252,0,0,368,0.8053
90,20452958,1,1,12,70,370,Blocks,2953117,832,2013-12-08 11:36:18,0,0,4,8,2,3201,85,55,15,127,215,2,70.5882,0,0,588,0.7059
91,16402086,1,1,12,70,260,Blocks,2129224,457,2013-05-06 15:30:11,1,0,5,4,1,918,166,16,12,45,126,1,62.7706,0,0,290,0.6277
92,43803931,1,1,12,70,612,Blocks,7893686,650,2017-05-05 11:34:09,1,0,2,2,1,1637,37,5,0,248,331,1,93.3948,0,0,608,0.9339
93,20666351,1,1,12,70,376,Blocks,335858,729,2013-12-18 19:05:11,2,0,6,1,1,615495,29582,3077,21,15843,26136,1,58.6066,0,0,429,0.5861
94,42965380,1,1,12,70,331,Blocks,2310289,460,2017-03-23 1:00:27,0,0,2,2,2,35411,2741,6982,1,2218,3772,2,71.1828,0,0,331,0.7118
95,36683934,1,1,12,70,674,Blocks,5132826,1231,2016-04-18 1:01:38,0,0,5,1,1,4464,23,25,6,146,396,1,68.1672,0,2,848,0.6817
96,49037930,1,1,12,70,554,Blocks,6468580,1627,2018-02-28 20:23:50,0,7,2,2,2,1080,97,41,0,46,100,2,43.7961,0,1,713,0.438
97,30277390,1,1,12,70,165,Blocks,827593,1220,2015-05-16 15:21:37,0,0,5,3,1,6369,416,13,13,248,314,1,30.4988,0,0,373,0.305
98,22198925,1,1,12,70,386,Blocks,1829930,1284,2014-03-05 13:18:09,6,0,9,1,1,4930,215,65,2,131,208,1,56.834,0,1,736,0.5683
99,985238,1,1,12,70,247,Blocks,120444,584,2009-06-12 6:18:03,16,0,2,4,3,20041,454,19,19,148,283,2,41.5385,0,0,243,0.4154
100,49525930,1,1,12,70,375,Blocks,4405757,1099,2018-03-28 4:07:23,3,0,7,3,6,9594,826,2089,24,393,1044,6,42.2868,1,0,466,0.4229
101,28638513,1,1,12,70,205,Blocks,1945651,855,2015-02-20 21:26:28,1,0,4,1,1,76515,841,1077,7,2560,5972,1,54.186,0,1,466,0.5419
102,19401920,1,1,12,70,337,Blocks,2721865,778,2013-10-16 11:13:21,1,0,3,3,2,4752,39,353,7,165,383,2,80.2311,0,0,625,0.8023
103,26593333,1,1,12,70,216,Blocks,1899640,838,2014-10-27 17:31:00,3,0,3,1,2,73822,1542,137,4,1845,2925,2,37.3964,0,0,316,0.374
104,35924803,1,1,12,70,274,Blocks,2004685,979,2016-03-10 18:48:46,1,0,6,2,2,7456,926,189,15,390,827,2,51.7206,0,0,511,0.5172
105,51579605,1,1,12,70,289,Blocks,5761558,511,2018-07-29 11:00:45,0,0,3,3,2,23248,1615,391,2,792,1315,2,58.5271,0,0,302,0.5853
106,10359829,1,1,12,70,298,Blocks,20322,1412,2012-04-28 1:33:27,2,0,6,1,3,22681,1079,86,0,793,1243,3,41.4013,0,0,585,0.414
107,47400845,1,1,12,70,475,Blocks,7134058,1606,2017-11-20 20:52:14,2,0,5,4,3,3446,140,51,2,315,439,3,52.381,1,0,847,0.5238
108,16232468,1,1,12,70,236,Blocks,1919013,354,2013-04-26 8:58:16,2,0,2,5,3,12178,120,15,25,205,430,3,65.3521,0,0,232,0.6535
109,5430058,1,1,12,70,298,Blocks,329637,505,2011-03-25 8:23:29,4,0,2,0,1,39977,2806,103,36,214,504,1,59.2157,0,0,302,0.5922
110,21641594,1,1,12,70,233,Blocks,134252,690,2014-02-08 3:40:42,3,0,3,2,1,19513,687,65,81,361,902,1,63.097,0,0,436,0.631
111,34477318,1,1,12,70,257,Blocks,981744,932,2015-12-27 3:25:24,1,0,11,3,2,24061,2059,5029,4,797,2083,2,41.302,0,0,387,0.413
112,16654006,1,1,12,70,248,Blocks,2299638,355,2013-05-20 16:29:54,1,1,2,3,3,4272,119,100,1,247,380,3,68.1319,1,0,248,0.6813
113,12361802,1,1,12,70,237,Blocks,816620,706,2012-09-11 2:08:45,2,0,3,1,1,436509,3632,4670,37,10510,23753,1,71.57,1,0,506,0.7157
114,30813451,1,1,12,70,284,Blocks,4249374,529,2015-06-12 23:11:20,0,0,2,4,2,1766,278,397,41,104,300,2,52.2222,2,0,282,0.5222
115,19877235,1,1,12,70,281,Blocks,416224,796,2013-11-09 14:42:20,1,0,5,2,2,18451,6706,2843,49,383,2473,2,64.2236,0,0,517,0.6422
116,50079499,1,1,12,70,474,Blocks,0,538,2018-04-28 17:54:36,0,0,2,1,1,0,0,0,261014,224615,0,0,87.1985,0,0,470,0.872
117,29830310,1,1,12,70,537,Blocks,1265182,616,2015-04-23 17:18:40,2,0,2,4,2,8099,27,6,5,520,996,2,86.3857,0,0,533,0.8639
118,42986512,1,1,12,70,331,Blocks,5681248,517,2017-03-23 20:38:02,0,0,2,0,1,335,4,0,2,40,75,1,63.6364,0,0,336,0.6364
119,23773815,1,1,12,70,503,Blocks,2731457,666,2014-05-21 4:09:12,1,0,2,0,1,1063,124,3,52,40,270,1,74.74,0,0,503,0.7474
120,30233692,1,1,12,70,347,Blocks,1221571,448,2015-05-14 9:24:33,2,0,2,4,1,287031,9408,1784,13,7385,14000,1,76.6004,0,0,347,0.766
121,39589820,1,1,12,70,556,Blocks,2169777,1094,2016-09-20 9:00:04,1,0,8,1,6,2617,80,24,19,177,327,4,59.0868,0,1,647,0.5909
122,26832964,1,1,12,70,251,Blocks,2649570,541,2014-11-09 20:30:02,0,0,4,4,2,3379,543,1,7,167,260,2,62.9151,0,0,341,0.6292
123,25569684,1,1,12,70,668,Blocks,1186837,1307,2014-08-29 13:47:46,1,0,3,0,1,670,48,3,1,25,42,1,51.8997,0,0,683,0.519
124,16160422,1,1,12,70,301,Blocks,1239406,447,2013-04-23 3:29:51,0,0,2,6,1,1253,812,6,31,34,202,1,66.5929,0,0,301,0.6659
125,52231772,1,1,12,70,286,Blocks,139985,1156,2018-09-08 3:40:33,0,0,3,0,2,521215,2818,3115,20,12692,29663,2,36.9362,0,0,434,0.3694
126,38014605,1,1,12,70,223,Blocks,5924721,311,2016-06-24 13:27:31,0,0,2,1,1,6695,291,123,16,326,740,1,70.3822,0,0,221,0.7038
127,19854550,1,1,12,70,307,Blocks,646887,511,2013-11-08 8:27:14,2,1,2,0,1,30408,2677,265,10,1289,2167,1,60.5469,0,0,310,0.6055
128,33468119,1,1,12,70,391,Blocks,2741114,996,2015-11-01 22:49:18,1,1,4,5,2,1367,642,34,0,55,82,2,41.2587,0,0,413,0.4126
129,36294782,1,1,12,70,442,Blocks,2215166,1063,2016-03-29 20:47:06,4,0,7,1,4,3031,192,37,14,86,187,2,45.632,0,1,491,0.4563
130,29848621,1,1,12,70,308,Blocks,4371758,621,2015-04-24 13:20:13,5,0,6,1,1,3112,340,509,2,135,299,1,53.6977,0,0,334,0.537
131,30798213,1,1,12,70,272,Blocks,1221571,501,2015-06-12 8:03:44,2,0,2,4,2,287031,9408,1784,13,7385,14000,2,55.1383,0,0,279,0.5514
132,15006437,1,1,12,70,212,Blocks,672135,447,2013-02-21 15:47:43,2,0,2,1,1,1119,64,5,20,51,139,1,87.8319,0,0,397,0.8783
133,33110469,1,1,12,70,477,Blocks,2557554,1470,2015-10-13 18:54:15,1,1,5,1,1,2920,126,17,15,107,327,1,35.1789,2,0,521,0.3518
134,21690920,1,1,12,70,251,Blocks,481248,272,2014-02-11 0:47:16,2,0,2,3,1,9252,1177,84,1,460,999,1,90.6137,0,0,251,0.9061
135,36145072,1,1,12,70,402,Blocks,4642485,1477,2016-03-22 2:14:37,4,0,9,2,1,5190,6693,8,15,161,403,1,30.1724,0,0,455,0.3017
136,21298441,1,1,12,70,339,Blocks,481248,500,2014-01-23 2:55:47,2,0,2,0,1,9252,1177,84,1,460,999,1,66.8663,0,0,335,0.6687
137,10881433,1,1,12,70,325,Blocks,1057797,516,2012-06-04 12:39:11,2,0,3,0,1,536,78,9,12,29,75,1,65.3772,0,0,338,0.6538
138,29963933,1,1,12,70,397,Blocks,4341650,703,2015-04-30 9:26:52,3,0,2,4,3,365,744,10,5,23,57,3,96.3483,0,0,686,0.9635
139,41336380,1,1,12,70,562,Blocks,982198,938,2016-12-26 21:19:07,6,0,8,0,2,3076,750,14,38,124,317,2,69.6486,0,0,654,0.6965
140,35048977,1,1,12,70,427,Blocks,2198470,1162,2016-01-27 22:04:22,0,0,2,6,3,3701,217,54,23,242,517,3,68.1857,0,0,793,0.6819
141,29977612,1,1,12,70,240,Blocks,1642136,396,2015-04-30 20:55:39,0,0,2,0,1,1229,5,4,2,84,101,1,58.9421,0,0,234,0.5894
142,11696596,1,1,12,70,363,Blocks,825369,1276,2012-07-27 22:45:50,1,0,3,1,2,2400,256,1,16,48,165,2,33.3852,0,0,429,0.3339
143,47570510,1,1,12,70,496,Blocks,1221571,840,2017-11-30 9:56:00,1,0,6,8,4,287031,9408,1784,13,7385,14000,4,63.258,0,0,532,0.6326
144,21652774,1,1,12,70,289,Blocks,939008,749,2014-02-08 22:49:29,0,0,3,2,1,2599,51,11,9,128,1242,1,82.8457,0,0,623,0.8285
145,12853413,1,1,12,70,388,Blocks,738746,672,2012-10-12 6:25:37,2,0,5,3,1,41812,3684,339,32,907,3317,1,59.584,0,0,401,0.5958
146,41133268,1,1,12,70,332,Blocks,2310289,732,2016-12-14 1:19:14,0,0,2,7,3,35411,2741,6982,1,2218,3772,3,45.5902,0,0,336,0.4559
147,53450694,1,1,12,70,377,Blocks,9443072,749,2018-11-23 17:13:57,0,1,2,4,3,66,4,0,0,5,15,3,55.8201,0,0,422,0.5582
148,6243447,1,1,12,70,182,Blocks,742469,513,2011-06-05 14:15:23,6,0,5,1,2,22041,261,53,13,141,305,2,38.3268,0,0,197,0.3833
149,29338560,1,1,12,70,378,Blocks,1467628,479,2015-03-30 4:46:45,0,0,2,0,1,665,5,2,0,44,52,1,78.75,0,0,378,0.7875
150,33042261,1,1,12,70,149,Blocks,5292302,1071,2015-10-09 15:39:52,0,1,12,1,4,16165,1783,1303,12,529,3729,4,23.041,0,0,247,0.2304
151,50732886,1,1,12,70,313,Blocks,992484,931,2018-06-07 4:17:13,2,0,9,6,5,300909,10979,1441,15,10157,19134,5,54.0512,0,1,507,0.5405
152,15297879,1,1,12,70,158,Blocks,1697575,434,2013-03-08 15:48:22,1,0,3,0,1,2453,1119,16,8,151,246,1,52.8736,0,0,230,0.5287
153,28923945,1,1,12,70,215,Blocks,2422776,600,2015-03-08 7:00:08,1,1,3,1,1,183831,8283,35624,0,7212,17213,1,70.0491,0,0,428,0.7005
154,22694640,1,1,12,70,178,Blocks,2643475,430,2014-03-27 17:15:00,0,0,2,0,2,196,293,0,2,7,19,2,41.2993,0,0,178,0.413
155,50934986,1,1,12,70,454,Blocks,9837531,945,2018-06-19 18:39:00,0,0,2,1,2,200,180,11,4,13,38,2,64.6934,0,0,612,0.6469
156,16175831,1,1,12,70,412,Blocks,548225,561,2013-04-23 17:45:40,2,0,2,0,1,529120,20264,989,10,21718,36690,1,87.8092,0,0,497,0.8781
157,48483942,1,1,12,70,578,Blocks,1423608,956,2018-01-28 6:55:04,0,0,2,0,1,985,268,6,55,28,223,1,72.7842,0,0,698,0.7278
158,52101641,1,1,12,70,263,Blocks,9080015,1701,2018-08-30 16:24:18,2,0,6,2,2,1020,141,9,0,53,82,2,70.4094,0,0,1204,0.7041
159,35218043,1,1,12,70,412,Blocks,4223028,509,2016-02-05 6:56:51,3,0,2,2,1,576,23,0,7,28,101,1,80.1556,0,0,412,0.8016
160,14761372,1,1,12,70,222,Blocks,1679863,1045,2013-02-07 21:31:49,6,0,9,4,2,166974,5001,110,61,2842,8463,1,26.0994,0,0,273,0.261
161,48581866,1,1,12,70,303,Blocks,8807741,725,2018-02-02 11:36:11,1,0,3,4,3,1544,162,8,1,95,131,3,86.3636,0,0,627,0.8636
162,18947339,1,1,12,70,578,Blocks,2554605,833,2013-09-22 18:29:31,0,0,3,0,4,9494,2128,794,56,346,1621,4,69.9284,0,0,586,0.6993
163,47719687,1,1,12,70,282,Blocks,3992894,587,2017-12-08 17:48:40,1,0,2,1,1,312,10,1,0,31,41,1,48.6395,0,0,286,0.4864
164,28069139,1,1,12,70,201,Blocks,1945631,1516,2015-01-21 14:04:28,2,1,7,6,3,16799,217,424,0,308,884,3,57.472,0,0,873,0.5747
165,47760434,1,1,12,70,354,Blocks,7694740,1281,2017-12-11 19:55:30,1,1,4,12,3,4385,678,1977,3,138,894,3,54.6584,1,0,704,0.5466
